tam,kan,mal,tel
sloveniya moli,,sloveniyayi,
latviyam,,latviyayi,
peljiya moli,,beljiyami,
rumaniya moli,,rumaniya,
camaskirutam,samskruta,samskrtam,
intustani,hindustanada-bhase,hindusthani,
pikari,bihari,bihari,
oriya,odiya bhase,utiya bhasa,
kujaratti,gujarati,gujaratti,
cinkalam,,simhala,
kasmiri,kasmiri bhase,kasmiri bhasa,
nepala moli,nepalibhase,,
parci,parsi,,
paste,,pasto,
kannatam,kannada,kannata,
tulu,tulu,tulu,
malaiyalam,malayalam,malayalam,
tamil,tamilu,tamil,
hipru,,hibru,
svakili,svaheli,,
kenya,kinya,,
cittiram,citra,citram,
ankam,anka,ankam,
cankitam,sangita,sangitam,
anuvacan,,anuvacan,
pattu,hattu,patt,
vakkucaturyam,vak-caturate,vakcaturyam,
cirram,,ciral,
attakacam,attahasa,attahasam,
palamoli,,palamoli,
capam,sapa,sapam,
alocanai,alocane,,
kalavaram,,kalaham,
yacakam,,yacana,
varnanai,varnane,varnnanam,
illai,illa,illa,
acariri,,asariri,
eccarikkai,eccarike,,
munarivippu,,munnariyipp,
capatam,sapatamadu,samayam,
nanri,,nandi,
vivaranam,,vivaranam,
upatecam,upadesa,upadesam,
carkular,,sarkkular,
cakunam,sakuna,sakunam,
nallalatcanam,olleya laksana,subhalaksanam,
kettacakunam,kettalaksana,,
apacakunam,,dussakunam,
antam,antya,,
piratipalan,pratiphala,pratiphalam,
"marupatu,",marpadu,,
marram,,marram,
holi,,holi,
narakam,naraka,narakam,
kirakanam,,grahanam,
curiyakirakanam,surya grahana,suryagrahanam,
cantirakirakanam,candragrahana,candragrahanam,
kalappu,,kalarpp,
tattu,tattu,,
tak - tak,takataka,takk-takk,
kosam,ghosane,ghosam,
maniocai,,maniyocca,
maniyocai,,maniyocca,
iticattam,,itinadam,
itimulakkam,,itimulakkam,
tiktik,tik tik,tik-tiksabdam,
tikitik,tik tik,tik-tiksabdam,
tik tik,tik tik,tik-tiksabdam,
tik - tik,tik tik,tik-tiksabdam,
tiku tiku,tik tik,tik-tiksabdam,
kalaticaptam,,kalatiyocca,
pukampam,bhukampa,bhukampam,
vivakam,vivaha,,
marattan,myarethan,maratton,
kutirai pantayam,,kutirapantayam,
painalmec,phainal,phainal,
verri,,verri,
manopavam,manovikara,manovikaram,
pakti,bhakti,,
cici,,chi-chi,
akrosam,,rosam,
rauttiram,,pratigham,
ankaram,,amarsam,
kopam,kopa,kopam,
kurotam,,amarsam,
payam,bhaya,bhayam,
alantalai,kalavala,,
tirupti,trupti,trpti,
atmatirupti,manasantosa,atmasantosam,
atmacantocam,atma-santosa,atmasantosam,
cokam,soka,sokam,
manavetanai,manovyathe,cittavedana,
piranti,brandi,brandi,
ram,ram,ram,
lotka,vodka,vodka,
viski,viski,viski,
teyilai,,teyila,
kanko,kongo,,
viroti,vairi,virodhi,
etiri,,etirali,
citai,,cita,
camukam,samaja,samuham,
uyar kulam,unnata kula,uyarnna kulam,
uyarnta kutumpam,unnata kula,uyarnna kulam,
uyarnta kulam,unnata kula,uyarnna kulam,
joti,jote,jodi,
inai,,ina,
tampati,dampati,dampatikal,
pacukkuttam,,kalikkuttam,
retkiras,redkras,red kros,
palivut,balivud,bolivud,
matam,mata,matam,
iculam,islam,islam,
caiva campiratayam,saivasampradaya,saiva sampradayam,
hiniyan,hinayana,hinayanam,
vamcavali,vamsavali,vamsavali,
vamcam,vamsa,,
cati,jati,,
jati,jati,,
rajaparamparai,rajaparivara,,
aracakutumpam,arasu kutumba,rajakutumbam,
rajyacapai,rajyasabhe,rajyasabha,
kankiras,kangres,kongrass,
yurop,yurop,yuropp,
rajyam,rajya,rajyam,
ulakam,loka,ulakam,
vaiyam,visva,visvam,
kuttam,,alkkuttam,
kappalpatai,,kappalppta,
camutayam,samaja,samudayam,
ciru kiramam,,cerugramam,
kilap,klab,klabb,
natakanatikar,natanagara,,
mafiya,maphiya,maphiya,
viruntu,,virunnun,
avarttana attavanai,,avarttanappattika,
akatami,akademi,akkadami,
paliteknik,paliketeknik,politeknikk,
cattiriyan,ksatriya,ksatriyan,
cosiyalicam,,sosyalisam,
nacicam,,nasisam,
parta,parade,parda,
mantirimantalam,mantrimandala,,
tolilalarkuttam,,tolilalisakhyam,
narcari,narsari,nalsari,
ani,,ani,
vanam,kanana,vanam,
aranyam,vana,vanam,
katu,,kat,
atikara varkkam natattum atcimurai,adhikarigala honegetta prabhutva,,
ancal,,ancal,
patan inam,pathana jati,pathanmar,
patan cati,pathana jati,pathanmar,
patan jati,pathana jati,pathanmar,
tajiki camutayam,,tajikk samuham,
talukka,taluku,taluk,
valimantalam,vayu-mandala,,
antaritcam,antariksa,antariksam,
antaram,antariksa,antariksam,
akayam,akasa,,
akacam,akasa,,
porkalam,,porkkalam,
mattam,matta,,
nakaram,nagara,,
camrajiyam,cakradhipatya,samrajyam,
camastanam,samsthana,,
vatakku,,vatakk,
atai,patali,,
varappu,,varamp,
pinpakkam,,pinnarram,
pinpakam,,pinnarram,
turaimukam,,turamukham,
vilacam,,vivaram,
vata amerikka,,vatakke amerikka,
atittalam,,atittatt,
karunkuli,kappu kuli,,
mekam,megha,megham,
valnatcattiram,,valnaksatram,
aciriyai,,acarya,
javavaci,,java nivasi,
mottaviyapari,sagatu vyapari,motta vyapari,
jokkar,jokar,jokkar,
iraja,raja,rajavu,
jamintar,jaminudara,,
kustarokam,kusta-rogi,kustharogi,
tampi,tamma,,
ilaiyaval,kiriyavalu,,
tankai,tangi,,
amma,,amma,
kalainan,kalavida,,
mantiravati,mantravadi,mandravadi,
paiyan,,payyan,
melatikari,varisthadhikari,meladhikari,
kollaikkaran,,kollakkaran,
kalyanattarakar,,kalyana brokkar,
ejamani,yajamani,,
vaippatti,,veppatti,
viran,vira,,
virar,vira,,
acuran,asura,kruran,
ratcacan,ratricara,,
annai,,matav,
tay,tayi,,
maulavi,maulvi,malavi,
umai,,uma,
teciyavati,desiyavadi,desiya vadi,
navap,navaba,navab,
naci,,nasi,
natoti,,natotikal,
nars,nars,,
kilavi,,kilavi,
kelavi,,kilavi,
putticali,,kuttali,
kurravali,,kurravali,
paropakariyana,paropakari,paropakari,
vimana iyakki,vimana calaka,,
pullankulal vacippavar,,pullankulalvadakan,
katarkollaikkaran,,katal kollakkaran,
talai,,tala,
kuyavar,,kusavan,
kuyavan,,kusavan,
matatipati,mathadhyaksa,mathadhipan,
kaiti,kaidi,,
parsar,,parsalar,
irani,rani,rajni,
makarani,pattamahisi,maharani,
rajakumari,maharani,maharani,
pattatturani,pattamahisi,maharani,
vancakan,,vancakan,
rajaputtirar,rajaputa,rajaputran,
cillaraiviyapari,cillare vyapari,cillara vyapari,
kavi,,kavi,
ilatcatipati,laksadipati,laksadhipati,
latcatipati,laksadipati,laksadhipati,
matma,mahatma,mahatamav,
cevakan,sevaka,sevakan,
velaikkaran,,velakkaran,
kataikkaran,,kaccavatakkaran,
atimai,,atima,
pampatti,,pampatti,
vetan,,vetan,
makan,maga,makan,
pataki,gayaki,gayika,
marumakan,,marumakan,
atma,atma,atmav,
uyir,,uyiru,
piranan,prana,,
kutiraikkaran,,kutirakkaran,
marrantaykku piranta paiyan,malatayi magana anna,rantanammayil ninnu janiccasahodaran,
marrantay,malatayi,,
varicu,varasudara,,
niccalkarar,,nintalkkaran,
taiyarkarar,,tayyalkkaran,
taiyalkarar,,tayyalkkaran,
accariyar,acaryaka,,
valikatti,,valikatti,
nakaravaci,nagara-vasi,nagaravasi,
vanikan,vaisya,vaisyan,
vaiciyan,vaisya,vaisyan,
kiramavaci,grama nivasi,,
kettavan,kettava,,
paktan,bhakta,bhaktan,
upacakan,upasaka,upasakan,
vitavai,vidhava,vidhava,
yuvati,yuvati,yuvati,
velaikkarar,,velakkaran,
mallan,,mallan,
atirustam,adrusta,,
aisvariyam,,daivayogam,
atirstam,adrusta,,
katarkarru,,katalkkarr,
piralayam,pralaya,pralayam,
"culalkarru,",,culalikarr,
cakti,sakti,,
pirakacam,prakasa,prabhavam,
veliccam,,teliccam,
cantirikai,candraprabha,candrakiranam,
nilavuoli,,nilavu,
curyotayam,suryodaya,,
karru,,karr,
tevatarumaram,devadara mara,,
pu,huvu,puv,
pucceti,,pucceti,
mottu,,mottu,
mukil,,mukulam,
atalai,jadala,vatari,
citappalam,sitaphala,,
campakam,sampige,cempakam,
cenpakam,campaka,campeyam,
kakmari,,kakamari,
nilatamarai,,nilattamara,
makarantam,,makarandam,
nilakkatalai,,nilakkatala,
tottalvati,,tottavati,
kulcin,,gulci n,
marutani,madarangi,,
curan,,suran,
pokanviliya,bogan villa,boganvilla,
kaliflavarkoti,kaliphlavaru,koliphlavar,
mullankicceti,,mullankicceti,
naktaun,,nagadan,
kacani,,kasani,
mucakkani,,musikaparnni,
karatu,,garatu,
cita,,citrakam,
pul,pul,pull,
parli,,barli,
makkaccolam,,makkayi colam,
taniyam,dhanya,,
nar,nara,nar,
ventakkay,,ventaykka,
ventaikkay,,ventaykka,
cemparutti,,cemparatti,
kokko,,kokko,
pojpatram,bhojapatra,bhurjipatram,
kaipputti,,kayaputi,
nilakiri maram,,nilagirimarannal,
lavankam,lavanga,lavangam,
kirampu,,grampu,
matulai,,matalam,
inci,,inci,
elakkay,elakki,,
punnak,,punnagam,
kanca,,kancav,
kancam,,kancav,
attimaram,,atti maram,
alamaram,alada mara,,
cilpil,,cilbila,
tuvaraicceti,,tuvaracceti,
tuvaranceti,,tuvaracceti,
tamarai,,tamara,
kamalam,kamala,kamalam,
ampuyam,,pathojam,
pankayam,,payojam,
pankajam,,saroruham,
patumam,,patmam,
puntarikam,,putakam,
ampujam,,payojam,
pattani,batani,pattani,
patauk,,padak,
akati,,agati,
pakkumaram,,ataykkamaram,
pajarpattu,,bajarbatta,
rojacceti,,rosacceti,
straperri,straberi,,
appil,,appil,
ceri,,ceri,
cerri,,ceri,
alu - palu,,alu-balu,
mahokani,magavani,mahagani,
veppamaram,,veppu maram,
tejpal,,tejabal,
vetamajnu,,vedamajanum,
petmusk,,bedamusak,
cantanam,candana,candanam,
lici,lici,licci,
mankay,,manna,
pista,pista,pista,
hirankuri,,hirankhuri,
vitara,vidhara,vidhara,
kalatana,,kaladan,
peppar mint,,pepparminra,
putina,pudina,putina,
el,ellu,ell,
urulaikkilanku,,urulakilann,
iravurani,ratrirani,,
umattappu,,ummattu,
takkali,,takkali,
"pukaiyilai,",,pukayila ceti,
raspari,,rasbhari,
kottumalli,kotambari,kottamalli,
taniya,dhaniya,,
cirakam,,cirakam,
jirakam,,jirnnam,
karat,,kararr,
compu,sompu,,
peruncirakam,,perunjirakam,
maram,mara,maram,
ceti,,ceti,
ilai,,ila,
katir,,katir,
pattai,patte,,
caman,samanu,samanam,
catanam,samanu,samanam,
panam,,panam,
nikaralapam,nivvala labha,,
canta,canda,,
tanam,dana,danam,
celavu,,cilav,
vatakai,,vataka,
vacul,vasulu,vasul,
paramparai cottukkana vari,astiya kramika terige,,
vatti,,vatti,
vilai,,vila,
panayam,pantha,pantayam,
atvans,,advans,
jamin,jaminu,jamin,
mulatanam,muladhana,muladhanam,
nitiniksepam,,niksepam,
