tam,kan,mal,tel
tankananayam,,svarnna nanayam,
vellinanayam,belliya-nanya,velli nanayam,
"marakatam,",,maratakam,
pencan,pincani,pensan,
rokkam,,rokkam,
cillarai,cillare,cillara,
riyal,,reyal,
peni,,peni,
not,notu,nott,
paspuk,pas bukku,pasbukk,
anukulam,anukula,anukulamaya,
racayanam,rasayanika,,
taltal,,talal,
nirillata,nirjalikarana,nirjalikaranam,
ketjal,,ketajal,
iran tinar,,irani dinar,
oman riyal,,omani riyal,
eman riyal,,yamani riyal,
kattar riyal,,khattar riyal,
cavuti arepiya riyal,,sadi arab riyal,
tiram,,trama,
ajarpaijan manat,,asarbaijani manat,
leri,,lari,
tenke,,tenge,
laits,,lairrs,
litas,,litasa,
tajikistani rupal,,tasikistani rubal,
turukkimenistani manat,,turkmenistanimenat,
pakistan rupay,pakistani hana,pakkistani rupa,
morisiyas rupay,marisiyas rugalu,marisyas rupa,
nepala rupay,nepali rugalu,neppali rupa,
cecilji rupay,,sisilji rupa,
srilanka rupay,srilanka rupayi,srilankan rupa,
cilin,,sillin,
cukre,,sukr,
vata koriyayi van,,uttara koriyan von,
yen,,yen,
yuvan,,yuvan,
jalotti,,jlotti,
avuns,aunsu,auns,
kalvaci,,kalnali,
millikiram,miligram,milligram,
kilokiram,kilogram,kilogram,
kuvintal,kvintal,kinral,
tan,tan,tan,
kalpakam,kalubhaga,kalbhagam,
cunyam,sunya,pujyam,
irantu,,rant,
munru,muru,,
nanku,nalku,,
elu,elu,el,
ettu,,ett,
onpatu,,ompat,
patinoru,,patinonn,
patinonru,,patinonn,
patimunru,hadimuru,patimunn,
patinanku,hadinalku,patinal,
patinaintu,,patinanc,
patinaru,hadinaru,patinar,
patinelu,hadinelu,patinel,
patinettu,hadinentu,patinett,
pattonpatu,,pattonpatta,
irupatu,ippattu,irupat,
irupattonru,,irupattonn,
irupattiirantu,,irupattirant,
irupattirantu,,irupattirant,
irupattimunru,ippattamuru,irupattimunn,
irupattinanku,,irupattinal,
irupattiaintu,,irupattanc,
irupattaru,ippattaru,irupattiyar,
irupattiyelu,ippattelu,irupattel,
irupattettu,ippattentu,irupattiyett,
iruppattonpatu,ippattombattu,irupattonpat,
muppatu,muvattu,muppat,
narpatu,,nalpat,
aimpatu,aivattu,,
arupatu,,arupat,
elupatu,eppattu,elupat,
elupattiyettu,,elupattiyett,
elupattiettu,,elupattiyett,
enpatu,,enpat,
tonnuru,,tonnur,
ayiram,savira,ayiram,
pattayiram,,pattayiram,
pattulatcam,hattu laksa,patt laksam,
koti,koti,koti,
nuru koti,nuru koti,,
pilliyan,,bilyan,
tuli,,tulli,
koncam,konca,,
katal,,katal,
ataram,asaya,,
vatakilakku,,vatakku kilakku,
kilakku,,kilakk,
vattam,vrutta,vattam,
araivattam,ardha-vrutta,arddhavrttam,
motaram,,motiram,
ankulikam,anguliya,,
motiram,,motiram,
enkonam,entukona,,
ettukonam,entukona,,
camakonam,samakona,,
konam,kona,kon,
ataiyalam,,atayalam,
mantalam,mandala,mandalam,
piramit,piramid,piramid,
piramitu,piramid,piramid,
arokkiyam,arogya,arogata,
maunam,mauna,,
necam,sneha,sneham,
kavalai,kalavala,,
catyam,satya,satyam,
unmai,,unma,
ekatipatyam,purnadhikara,ekadhikaram,
kastam,kasta,klesam,
cuniyam,sunyatva,sunyata,
cukam,saukhya,sukham,
turatirstam,duradrusta,duravastha,
tolvi,,tolv,
alukku,,alukk,
kun,,kun,
irappatam,,irppam,
iram,,irppam,
varatci,,varanta,
apayam,apaya,apayam,
apattu,vipattu,,
malaikkan,,malakkann,
pakkavatam,paksavata,paksaghatam,
alukutal,,alukal,
annanam,ajnana,ajnata,
anatai,anatha,,
pilastik,,plasrrik,
amilam,amla,amlam,
ulokam,loha,,
aluminiyam,alyuminiyam,aluminiyam,
veliriyam,beriliyam,beriliyam,
poran,boran,boron,
karpan,karban,karban,
kulorin,klorin,klorin,
cempu,,cemp,
hvulurin,phlurin,phlurin,
hiliyam,hiliyam,hiliyam,
haitrajan,haidrojan,haidrajan,
haitrajan anu,haidrojan paramanu,haidrajan arram,
ayatin,ayodin,,
irumpu,,irump,
iyam,,iyam,
makniciyam,myagnisiyam,magnisyam,
pataracam,padarasa,,
maliptenam,,molibidinam,
niyan,niyan,niyon,
naitrajan,naitrojan,naitrajan,
aksijan,aksijan,oksijan,
pilattinam,,plarrinam,
pottaciyam,potyasiyam,pottasyam,
retiyam,rediyam,rediyam,
velli,belli,velli,
kantakam,gandhaka,gandhakam,
takaram,tavara,,
yureniyam,yureniyam,yureniyam,
venkaram,,pon karam,
apirakam,abhraka,abhram,
anu,anu,,
marakkari,,marakkari,
mannenney,,mannenna,
upapumi,upabhumi,,
arakku,aragu,,
venkalam,,venkalam,
pittalai,hittale,piccala,
purottin,protin,prottin,
karpuram,kappura,karppuram,
karpohaitret,karban haidretu,karbohaidrerr,
pinayil,,phinol,
kirepait,gryaphait,graphairr,
vaituriyam,vaidurya,vaiduryam,
ciment,siment,simanr,
tavitu,tavadu,,
pavalam,havala,pavilam,
pavan,,apanan,
nir,niru,,
canam,,canakam,
eccil,,eccil,
nul,nulu,,
multani mitti,multani monnu,multtanamitti,
multani metti,multani monnu,multtanamitti,
canal,,canam,
mai,masi,masi,
laktos,,laktojan,
lava,lava,lava,
cunnampu,,cunnamp,
kanima enney,khanija taila,,
cantirakantakkal,,candrakanta kall,
ceru,,ceru,
pal,halu,pal,
naitret,,naitrerr,
manal,maralu,manal,
paiprinojan,,phayibrinojan,
coppukkal,,soppkall,
cavvarici,,cavvari,
javvarici,,cavvari,
niravi,,niravi,
vellam,bella,,
"kannir,",kanniru,,
otu,,otu,
pusparakam,pusyaraga,pusyaragam,
vaittamin,vitamin,virramin,
kattai,kattige,,
tikkolli,kolli,tikolli,
tinam,dina,dinam,
kettanal,ketta dina,,
varam,vara,varam,
vayatu,vayassu,vayass,
vayacu,vayassu,vayass,
camayam,samaya,samayam,
nimitam,nimisa,jivitam,
janakkalam,janma-kala,jananasamayam,
maranam,marana,caramam,
cavu,,cav,
ayutkalam,,ayuskalam,
nalai,nale,nale,
pakal,,pakal,
cayankalam,sanje,sayankalam,
cayantiram,sandhyakala,sayankalam,
natuiravu,nattirulu,,
naturattiri,nadu ratri,maddhya ratri,
curiyaastamanam,suryasta,astamayam,
kalantar,kyalandar,kalantar,
hijri antu,,hijara varsam,
hijri varutam,,hijara varsam,
hijri varusam,,hijara varsam,
kiristumas,krismas,kristumas,
varutam,varsa,varsam,
antu,,ant,
nurrantu,,nurrant,
"macam,",masa,masam,
macam,masa,masam,
tinkal,tingalu,,
janavari,janavari,januvari,
pipravari,phebravari,phebruvari,
marc-1,marc,marcc,
epral,epral,epril,
me,,mey,
jun,jun,jun,
julai,julai,julay,
akast,agast,,
akasttu,agast,,
ceptampar,septembar,seprrambar,
aktopar,aktobar,oktobar,
navampar,navembar,navambar,
ramjan,ranjan,,
ramalan,ranjan,,
pakrit,bakrid,bakkrid,
vaikacimatam,vaisakha,vaisakham,
ramanavami,ramanavami,ramanavami,
karttikai,kartikamasa,karttika masam,
taimatam,,tai masam,
karppakalam,garbhavasa,garbhakalam,
yamam,,yamam,
camam,,yamam,
jamam,,yamam,
ilaiyutirkalam,,ilapoliyum kalam,
vacantakalam,,vasantakalam,
kulirkalam,caligala,,
malaikkalam,jala rutu,malakkalam,
kurukiyakalam,,kuraccu kalam,
nimisam,nimisa,nimisam,
ksanam,ksana,,
yukam,yuga,yugam,
pirantanal,,pirannal,
ovar,vovar,ovar,
cayunkalam,sandhyakala,,
utayam,udaya,udayam,
itaiye,,itayil,
itaiveli,,itavela,
neram,,neram,
itaivelai,,itavela,
pakal velai,,pakalvela,
palakiya,palagida,,
nintakalamana,bahukalina,cirakalikamaya,
atikamana,adhikavada,,
alankaramarra,alankara rahitavadanta,alankarikkatta,
alankaramillata,alankarahinavadanta,alankarikkatta,
pitiyillata,bhayavilladanta,bhayamillatta,
verutciyillata,bhayavillada,bhayamillatta,
kiliyillata,bhayavillada,petiyillatta,
accamillata,bhayavilladanta,bhayamillatta,
payamillata,bhayavillada,petiyillatta,
tikilillata,bhayavilladanta,petiyillatta,
katainta,,katanna,
eccarikkaiyana,eccaraviruvanta,,
irattamillata,raktasunya,raktamillatta,
rosamillata,krodavilladanta,kopamillatta,
katunkopamillata,krodavillada,amarsamillatta,
cinamillata,krodavilladanta,rosamillatta,
matamillata,krodavilladanta,rosamillatta,
katuppillata,krodavillada,rosamillatta,
kattamillata,krodavillada,kruttillatta,
rauttiramillata,krodavilladanta,rosamillatta,
kurotamillata,krodavilladanta,rosamillatta,
 kopamillata,krodavillada,kopamillatta,
kopamillata,krodavilladanta,amarsamillatta,
jalam,jala,jala,
atutta,,atutta,
munpulla,,munnilulla,
cuvaiyillata,ruciyilladantaha,svadillatta,
ruciyillata,ruciyilladanta,svadillatta,
ayutamillata,,ayudhamillatta,
kavacamaninta,kavacitavadanta,kavacadhariyaya,
kavacamaniyata,kavacadharisada,avaranam aniyatta,
mullillata,mullilladanta,mullillatta,
kaiyillata,kaiyilladantaha,kaiyillate,
umaiyana,,umayaya,
avamanappatutta,,apamanikkappetta,
vetkamillata,,nanamillatta,
vakkukotutta,,vakkukotutta,
mulkiya,,mulukiya,
kavanamillata,gamanavillada,,
maratiyulla,,maraviyulla,
ketkata,,kelkkatta,
cattappati urimai kitaitta,,niyamanusaram adhikaram labhicca,
tukkamillata,,urakkam illatta,
payankaramana,atibhayankara,bhayanaka,
viparitamana,viparita,viparitamaya,
mottait talaiyutaiya,,mottattalayanaya,
irukal,,irukali,
irantukal,,irukali,
cankiliyulla,,cannalayulla,
spatikamulla,sphatikada,,
pumiyillata,,bhumiyillatta,
pirakacamana,prakasamanavada,prakasapurnnamaya,
olimaiyamana,sobhayamana,,
utaiyata,,otiyatta,
elumpuillata,,ellillatta,
elumpillata,,ellillatta,
cantamana,santavada,santamaya,
alaiatikkinra,,alayatikkunna,
aiyamillata,samsayavillada,samsayamillatta,
marata,,maratta,
marana,,maratta,
mariya,,mariya,
marramillata,,marramillatta,
marutalillata,,marramillatta,
cirittamukamana,,ciriccamukham,
ciru man ponra,sanna sanna kanagalullantaha,,
kavi niramana,kavi bannadanta,kavi niramullataya,
kavi nira,kavi bannada,,
kavi vanna,kavi bannada,,
mancan,,manna,
pista vanna,pistabannada,,
velliniramana,,velliniramulla,
karunilanira,kappu-niliya,,
pala vannankalaik kotukkum,,niram marunna silamulla,
pala vannattil marum,,niram marunna silamulla,
pala vannam tarum,,niram marunna silamulla,
mantamana,mandamatiya,malinamaya,
pap,pap,,
alukkana,,alukkaya,
alaciya,,alakkiya,
kaluvata,,kalukatta,
totakkutata,,tottukutatta,
arukuulla,,atuttulla,
piriyamana,priyavadanta,,
piracuram ceyyappatta,,prakasanam ceyyapetta,
nocivana,novinanta,,
jananayaka,,janayatta,
vicesamana,visesavada,,
manarpankana,maralinantha,,
poruttamana,,poruttamulla,
cakkitiyulla,,caturyamulla,
tiramaiyulla,,caturyamulla,
nirainta,,niranna,
carnta,asrita,,
anukulamana,anukulakara,anukulamaya,
piraknaiyulla,prajneyulla,,
unarvillata,jnanavillada,,
paranta manamulla,,turannamanasulla,
atmatiruptiyana,atmasantosa,atmatrpatanaya,
eppolutum,,eppolutum,
anataiyana,anathanada,anathan,
vivatamillata,vivadavilla,vivadamillatta,
caukariyamana,,sakaryamaya,
pulakkattilulla,,pracarattilulla,
valakkattilulla,,pracarattilulla,
tanturi,tanduri,,
cariramillata,,sariramillatta,
tekamillata,,dehamillatta,
uruvamillata,,dehamillatta,
kayamillata,,dehamillatta,
utampillata,,dehamillatta,
tulaikkappatta,,vadhikkappetta,
ottaiyillata,tutilladanta,ottayillatta,
tuvaramillata,,dvaramillatta,
tulaiyillata,tutilladanta,kiluttayillatta,
kuliyillata,,akrtiyillatta,
tiraiyillata,tereyillada,maravillatta,
ratcaca,,ratrincara,
alamana,alavada,,
valuvillata,balavillada,,
palavinamana,,pelavamaya,
avaciyamana,,avasyamaya,
cutantira,svatantravada,svatantra,
mukkiyamana,mukhyavada,mukhyamaya,
vivaramulla,vivaranatmakavada,vivaranatmaka,
vivaramana,vivaranatmakavadantaha,vivaranatmaka,
erinta,,erinna,
palavantamceyyappatta,,balalkkaram ceyyappetta,
nicciyakkappatata,,niscayikkappetatta,
nicciyamillata,,niscitamallatta,
nerana,nera,neraya,
cariyana,sariyada,,
mankalana,,mlanamaya,
cakkaravartti,cakravartiyada,cakravartti,
irattaikulalana,,irattakkulalulla,
natakamana,natakiyavadanta,,
kurmaiyulla,,murccayulla,
arivillata,arivilladanta,,
patikkatavan,,pathikkattavan,
terntetukkappatta,,tirannetukkappetta,
akatamik,akademiya,,
velaiyillata,,tolilillatta,
piriyamillata,,talparyamilla,
rakaciyamana,rahasyamayavada,rahasyamaya,
mukastuti ceykira,mukhastuti,,
camatalamana,samamadidanta,samatalamaya,
"camamattamana,",samatattadanta,samatalamaya,
camamattamillata,samatattiyillada,,
camatalamillata,samatattiyillada,,
nampikkaiyillata,nambikeyillada,,
anupavamillata,anubhavavillada,,
velipuramulla,,purameyulla,
ulleyulla,,ullilulla,
irakaciyamana,rahasyavadanta,rahasyamaya,
orraikkannulla,okkanninantaha,orrakkannulla,
orraikkannutaiya,okkanninantaha,orrakkannulla,
vaymaiyana,nyayiyada,nyayiyaya,
niyatiyana,nyayayuta,nyayiyaya,
unmaiyana,nyayiyada,nyayiyaya,
niyayamana,nyayiyada,nyayiyaya,
viyappana,vilaksana,,
vicittiramana,vicitravadanta,vicitramaya,
natappil ulla,,natappulla,
cuntaramana,sundaravada,,
ceyyata,,ceyyatta,
mutivillata,mitiyillada,,
mutivarra,,atirarra,
ellaiyillata,elleyillada,,
mutipillata,mitiyillada,,
arampamana,arambhadanta,,
kunana,,kuniya,
irakkumatiyana,,irakkumaticeyta,
kutumpacampantamillata,,kutumbaparamallatta,
kutumpacampatamillata,,kutumbaparamallatta,
kutumpatotarpillata,,kutumbaparamallatta,
upacarattirkana,aupacarikavadanta,aupacarikamaya,
nalla,,nalla,
turatirsatamana,duradrustadantaha,,
amankalamana,amangalavadanta,,
kasturi manamulla,kasturiyantiruva,kasturimanamulla,
cukantamulla,,manamulla,
narumanamulla,,gandhamulla,
vacanaiyulla,suvasaneyulla,vasanayulla,
vacanaiyilata,vasaneyillada,manamillatta,
narumanamillata,vasaneyilladanta,manamillatta,
otippona,,otippoya,
palaiya,,palakiya,
nalana,,palaya,
kettiyana,gattiyada,kattiyaya,
natparnta,snehapara,,
kaykkata,,kaykkatta,
niraiya,,niracca,
kaliyana,,kaliyaya,
irakkaiyulla,rekkeyulla,cirakulla,
kancan,krupana,krpanan,
arralillata,,kalivillatta,
carivana,,carivulla,
nanriyillata,,nandiyillatta,
nanriketta,,nandiketta,
mirutuvana,mruduvada,,
kalankamarra,kalankasunya,,
ramapanamana,ramabana,,
nivarana,nivaraka,nivarana,
vata rokamana,vatadosadanta,,
payankaramaka,bhayankara,,
talnta,,talnna,
irattai vesam potukinra,eradu tale havinantaha,,
ankatamana,mityabhasiyada,,
apattamana,mityabhasiyada,,
apantamana,mityabhasiyada,,
acattiyamana,mityabhasiyada,,
vicuvacamulla,,visvasamulla,
cinekitanillata,snehitanalladanta,snehitanallatta,
mittirarillata,mitranalladanta,,
vacanta,vasanta masa,vasantakala,
manusanarra,amanusa,amanusaraya,
takamulla,,dahamulla,
ajiranamana,ajirnavada,,
piratanam,pradhana,pradhana,
perumaiyillata,,menmayillatta,
makattuvamillata,,mahatvamillatta,
makimaiyillata,,menmayillatta,
kattuppatuttappatta,,kilppetuttappetta,
arivukuraivana,,arivukurannavaraya,
cokamana,sokadanta,,
anantamaiyamana,anandapurnavada,anandapurnnamaya,
cantosamaiyamana,anandapurnavada,anandamayamaya,
cantosamana,santustavada,santustamaya,
nanamulla,jnanamayavadanta,,
puriyata,,ariyatta,
lepil ulla,,lebalulla,
vistaramana,visalavada,visalamaya,
vicalamana,visalavada,,
paripalana,paripalaka,paripalakanaya,
kalappu kalyanattil piranta,anaitika sambandhadinda huttida,,
kalappu manattil piranta,anaitika sambandhadinda huttida,,
kalappu tirumanattil piranta,anaitika sambandhadinda huttida,,
natakkamutiyata,,natannukutatta,
ciriya - ciriya,,ceriya ceriya,
mukkali,,mukkali,
necamana,snehamaya,snehamulla,
ciriya,,ceriya,
nallakunamulla,,nalla laksanamulla,
penina,,penn,
ataiyalamarra,,atayalamillatta,
ataiyalam teriyata,,atayalamillatta,
ataiyalamillata,,atayalamillatta,
paruvamatainta,paripakvavada,paripakvamaya,
"virinta,",,viriyunna,
palutta,,palutta,
palukkata,,apakata,
arttamillamal,arthavillada,,
kalakkata,,layikkatta,
atinavinamana,,ati navinamaya,
akankaramillata,ahankaravilladanta,ahankaramillatta,
talaikkanamillata,abhimanarahita,ahankaramillatta,
akampavamillata,nirabhimanavadanta,ahankaramillatta,
karvamillata,abhimanyasunya,ahankaramillatta,
anukulamulla,anukulavadanta,anukulamaya,
anitiyana,anaiccika,anitipurnamaya,
upayokamillata,,avasyamillatta,
cakravarttiyin,cakravarti,,
raniyin,raniya,,
tenkilakkana,,tekk kilakk,
mukkillamal,,mukkillatta,
veruppana,,veruppulla,
koramana,ghoravada,,
eccilana,,eccilaya,
anlain,anlain,,
pati tiranta,,pati atanna,
tiranta,,turanna,
culappatta,,currappetta,
muraiyillata,,murayillatta,
orrumaiyana,,orumayulala,
orrumaiyulla,,orumayulala,
orrumaiillata,,poruttamillatta,
orrumaiyillata,,orumippillatta,
catarana,sadharanavadanta,sadharana,
karpanillata,,karban illatta,
putiya,,putiya,
navinamana,navinateya,,
nutanamana,nutanavada,,
porukkulla,,porrayulla,
panimutiya,,mannumutiya,
talirana,,talirulla,
miccamana,,miccam vanna,
kattanamillata,vetanavillada,vetanamillatta,
pilakkinra,,pilarkkunna,
cayampuciya,,cayam pusiya,
puciya,,pusiya,
kuritta nerattirku mun,samantaru aluttidda kala,,
munnal,muncina,munnil,
ammayillamal,,matavillatta,
matayillamal,,ammayillatta,
annanillata,appanilladantaha,tantayillatta,
tantaiyillata,tandeyillada,acchanillatta,
takappanillata,tandeyillada,tantayillatta,
aiyanillata,tandeyillada,tantayillatta,
pitayillata,appanilladantaha,tantayillatta,
tiramana,dhairyasali,dhiracittan,
tairiyacali,dhairyasali,dhairyasali,
tairiyamillata,dhairyavillada,,
"manokaramana,",manamohaka,manoharamaya,
iyarkai muraiyil alukum,,svabhikaritiyil ciyunna silamulla,
cirupulliyulla,,ceru pullikalulla,
pu velai ceyyappatta,hugala kasuti madidanta,,
kattamana,,atrptamaya,
attiramana,,atrptamaya,
anantamana,prasannadayakavadantaha,anandapradamaya,
cantoskaramana,santosakaravada,,
urkacamana,sukhakaravada,,
pulakamana,sukhakaravada,,
anantakaramana,santosakaravada,,
manoratamana,manoranjakavadantaha,,
perata,aprapta,,
atikaramillata,adhikarahina,angikaramillatta,
uluta,,ulunna,
vitaikkata,,vitaykkatta,
ajarana,hajaradanta,,
telivana,,telivaya,
urpatti pannata,utpatti madada,,
arpanana,alpajnani,alpajnanaya,
arpananiyana,alpajnaniya,alpajnaniyaya,
uccarikkakkutiya,,uccarikkanulla,
cariyillata,,parrillatta,
akankaramana,durahankari,ahankariyaya,
karvamana,garva,,
akankaramulla,,ahankariyaya,
jampamana,jambadanta,,
akantaiyulla,,ahammatiyulla,
akampavamulla,,ahambhavamulla,
munyecanaiyillata,munneccarikeyillada,,
muncintanaiyillata,mundalocaneyillada,,
nicaptamana,,niscestamaya,
nisaptamana,,niscestamaya,
cankatamnirainta,sankatagonda,,
purana,pauranika,purana,
palankala,puranada,purana,
aniyayamana,anyayada,anyayamaya,
niyayamarra,,anyayamaya,
niyayamillata,nyayavallada,,
mintum pera mutiyata,,vintum vintum labhikkunna,
mintum pera iyalata,,vintum vintum labhikkunna,
niyamikkappatata,aniyamitavada,,
kuritta kala itaiveliyil nikalakkutiya,,niscita samaya paridhiyilulla,
kuritta kala itaiveliyil nikalum,,niscita samaya paridhiyilulla,
valatu,,valat,
kompulla,kombulla,kompulla,
cataiyulla,,catayulla,
apayamana,apayakari,,
camamana,samanavadanta,samamaya,
virotamaka,,viparitamaya,
vevverana,,vevvere,
marra,,marr,
marronrana,,marronn,
veru,,veroru,
orematiriyana,pratirupiyada,pratirupamaya,
tiruptiarra,truptiyagada,,
tiruptiyillata,truptiyagadanta,,
tiruptiyarra,truptiyagada,,
nanraka,,nannaya,
periya,hiriya,,
tirmanikkappatta,,nirnnayikkappetta,
irukkiya,,irukiya,
valukkukira,,valukkalulla,
pattup ponra,,patt polatte,
ekantamana,,ekantamaya,
vitaiyulla,,vittulala,
virkappatata,,vikkappetatta,
tinmamana,,tivramaya,
tirava,drava,,
karaiyata,karagada,,
elutata,,elutatta,
elutappatata,,elutatta,
"uyarnta,",,uyarnna,
inippana,,inippulla,
iru cama pakkamulla,,samamaya rant kaiyyulla,
iru cama pakkamirukkum,,samamaya rant kaiyyulla,
kullamana,kullada,kullanaya,
ruciyulla,ruciyada,,
uppillatu,uppillada,,
uppillamal,uppillada,,
kanamana,,kanamulla,
melliya,,melinna,
talarvana,,talarnnu,
pallillata,hallillada,pallillatta,
palillata,hallillada,pallillatta,
atiyillata,adiyillada,,
tota,,totta,
narcattulla,,narukalulla,
cattiyamana,,satyamaya,
kannirvarata,kanniru-barada,,
upayokamana,upayuktavada,prayogaksamata,
karrottamana,,karrottamulla,
istamana,istadinda,,
tiyaka,tyajya,,
kuraintuvarum,,kurannuvaruka,
alaikkata,,vilikkatta,
malaikkala,,malakkalam,
kaynta,,kayal,
cakkaramulla,cakragaliruva,cakramulla,
akalamana,agalavada,,
kampiyillata,,kampiyillakampi,
otillata,,totillatta,
amhairik,amharik,,
armeniya,arminiyada,armeniyan,
pakka,paksada,,
ajarpaijanutaiya,ajarabaijanina,asarbaijaniyan,
pelaras,belaras,belarsi,
potsvanayi,botsavanayi,botsvanayute,
nakara,nagarada,nagarikata,
elaktranik,elektranik,,
estoniya,stoniyada,,
asistvati,astitvavadiyadantaha,,
munru cakkara,muru gali cakra,munnu cakramulla,
munru cakkaramulla,muru gali cakra,munnu cakramulla,
nanku cakkaramulla,nalku gali cakra,nalu cakramulla,
nalu cakkara,nalku gali cakra,nalu cakramulla,
manitapimana,manaviyavada,manusikamaya,
manitaneyamana,manaviyavadanta,manusikamaya,
tayin,tayiya,,
vitantavatamcey,vitandavadamadu,,
tiya valikku alaittuccel,tappu tiluvalike nidu,,
nar naray kili,tundu tundu madu,,
ka ka ena kattu,kaka kaka endu kugu,ka ka enn sabdikkuka,
pukaltal,,pukalttuka,
vicari,vicarisu,,
paritciyamaku,paricaya madisu,,
nampu,nambu,,
ennu,,ennuka,
varni,varnisu,,
pecu,helu,,
mulanku,,mulannuka,
alu,alu,,
nirakari,tiraskarisu,,
irantam itattil va,innondu sthanakke baruva,,
turattu,,turattuka,
patakin cukkan curru,hadagina cukkani tirugisu,,
vettaiyatu,,vettayatuka,
tinnu,tinnu,tinnuka,
vilunku,,vilunnuka,
totu,,totuka,
kutta,,kuttuka,
kattu,kattu,,
nankurammitu,,nankuramituka,
nankurampotu,,nankuramituka,
mututal,,mutuka,
mutukku,,murukkuka,
murukku,,murukkuka,
kalakku,kalasu,,
muttamitu,muttidu,muttamituka,
muttamkotu,muttidu,muttamituka,
nakku,nekku,nakkuka,
kuttu,,kuttuka,
katikka,,katikutuka,
cularru,,cularruka,
turru,turu,,
uruntaiyakku,,urulayakkuka,
tallu,tallu,,
korkka,,korkkuka,
nikku,,nikkuka,
mey,,meyuka,
kaykka,,kaykkuka,
alankari,alankaramadu,,
paccaikuttu,,paccakuttuka,
untakku,,untakkuka,
vivacayattirku takuti cey,krusige yogyavaguva hage madu,,
payappatu,bhayapadu,,
cantosappatu,santosa padu,,
po,hogu,povuka,
ninta payanam cey,kastadinda dari madikondu sagu,prayasameriya ninta yatra ceyyuka,
purattivitu,,uruttiyituka,
uruttivitu,,uruttiyituka,
nintu,,nintuka,
erutal,,eruka,
tallatu,alladu,,
astami,astamisu,,
irakku,,irakkuka,
etu,ettu,,
vilu,,viluka,
purappatu,,purappetuka,
kacca,kacca,,
curriva,,curruka,
oluku,,olukuka,
talumpu,,tulumpuka,
natanamatu,natyamadu,,
nattiyamatu,natyamadu,,
kuttu vali etu,nintu nintu noyu,,
konamulla,konayukta,,
mikutiyana cattam uruvaku,dham dham sabdha madu,,
atikamana cattam uruvaku,dham dham sabdha madu,,
palatta cattam uruvaku,dham dham sabdha madu,,
maunamayiru,summanagu,manamayirikkuka,
kanikkaikotu,kanike kodu,,
akrami,akramisu,,
tavunlotu cey,daun lod madu,,
ankikari,angikaramadu,angikarikkuka,
muraiyarra porutkal virpanai cey,kanunige viruddhavagi vyavahara madu,niyamaviruddhamayi vyaparam natattuka,
catta virotamana porutkalai virpanai cey,kanunu bahira vyapara madu,niyamaviruddhamayi vyaparam natattuka,
vanki virpanai cey,kodu-kolluvike madu,,
tannutaiya atikarattil etuttukkol,nanna kaiyinda madu,,
lancam kotu,lanca kodu,,
tir,tiru,,
tiruppikkotu,tirugi kodu,,
katanvanku,,katamvannuka,
palikotu,bali-nidu,,
alankarikkappatu,,alankarikkuka,
comperiyaku,somberiyagu,,
natattu,,natattuka,
vatakaikku etu,,vatakaykk etukkuka,
cikkikkol,sikkikollu,,
kel,kelu,,
vancikkappatu,vancisalpadu,,
anukulamakku,anukulakariyagu,anukulamavuka,
